customer,mdn,sprint_plan,socs
M2M DataSmart,9177230399,DSMDATA65,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177215417,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9177018196,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6462982446,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6463199774,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6463168143,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6462287102,DSMDATA64,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK
M2M DataSmart,6463379143,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4
M2M DataSmart,6462210955,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6464182350,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6462952232,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6463452675,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,9177491384,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9176534286,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,6467964679,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9176742971,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6464986842,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6467293036,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9177212113,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9176533734,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6466714807,DSMDATA66,DSMBAIC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9173094206,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6463164429,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,9177497360,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9178059371,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,9174074643,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9174075380,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9174078832,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9177210814,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9174077009,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM5;DSMSMSBLK
M2M DataSmart,6464189002,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,6463262490,DSMDATA63,DSMBAIC;DSMLTESOC;DSMOCBLK;DSMREALM4;DSMSMSBLK;DSMSTIP
M2M DataSmart,9173340664,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
M2M DataSmart,9176535112,DSMDATA63,DSMBAIC;DSMOCBLK;DSMREALM4
